mX,mY,Ntot_w,Ntrig_w,Nsel_w,selectionbJets_ControlRegion,selectionbJets_SideBandRegion,selectionbJets_SignalRegion,selectionbJets_genMatched_ControlRegion,selectionbJets_genMatched_SideBandRegion,selectionbJets_genMatched_SignalRegion,eff_tot,eff_trig,eff_sel,pur_tot,pur_trig,pur_sel
300.0,60.0,35900.0,,10009.4228515625,166.5986328125,126.74449157714844,1530.0701904296875,18.452783584594727,4.4870781898498535,297.8267517089844,0.04262033956628656,0.04262033956628656,0.15286297852736225,0.008296009796907642,0.008296009796907642,0.19464907791278915
300.0,70.0,35900.0,,10072.869140625,172.50289916992188,137.61227416992188,1592.8857421875,22.787700653076172,3.5825796127319336,298.2310791015625,0.04437007638405292,0.04437007638405292,0.15813624896239492,0.008307272398372215,0.008307272398372215,0.18722691226553614
300.0,80.0,35900.0,,10162.5654296875,204.2434539794922,105.77900695800781,1619.4119873046875,17.112512588500977,3.0524089336395264,297.1243591308594,0.045108969005701605,0.045108969005701605,0.1593507071131826,0.00827644454403508,0.00827644454403508,0.18347669491158108
300.0,90.0,35900.0,,10371.65234375,165.12025451660156,88.54279327392578,1702.9991455078125,11.24048137664795,0.6024821400642395,276.3853759765625,0.04743730210328168,0.04743730210328168,0.16419747684023045,0.007698756990990599,0.007698756990990599,0.16229331453607274
300.0,100.0,35900.0,,10627.591796875,128.4911346435547,74.92933654785156,1763.3292236328125,4.547766208648682,0.1769149750471115,207.98297119140625,0.04911780567222319,0.04911780567222319,0.16591992403691233,0.005793397526223015,0.005793397526223015,0.11794902982604663
300.0,125.0,35900.0,,11649.599609375,141.74017333984375,108.71688079833984,1865.8836669921875,5.635843276977539,0.9837464094161987,226.94549560546875,0.0519744754036821,0.0519744754036821,0.1601671928270067,0.006321601548898851,0.006321601548898851,0.12162896305925967
300.0,150.0,35900.0,,12844.8212890625,189.94107055664062,127.80320739746094,1982.81640625,15.935041427612305,0.4152977168560028,327.4970397949219,0.05523165477019499,0.05523165477019499,0.15436699052702188,0.009122480217128743,0.009122480217128743,0.16516760642217018
400.0,60.0,35900.0,,14239.439453125,519.0958251953125,386.65521240234375,3708.551513671875,184.54257202148438,47.60892868041992,1336.968017578125,0.10330227057581824,0.10330227057581824,0.2604422404322941,0.03724144895760794,0.03724144895760794,0.3605094907403293
400.0,70.0,35900.0,,14392.591796875,558.7315063476562,409.1246032714844,3915.556640625,175.83480834960938,39.96796798706055,1370.5517578125,0.10906843010097493,0.10906843010097493,0.27205361590781496,0.038176929186977716,0.038176929186977716,0.35002730993408204
400.0,80.0,35900.0,,14461.015625,586.3094482421875,336.5071716308594,4095.83984375,137.71435546875,20.805191040039062,1364.199951171875,0.11409024634401115,0.11409024634401115,0.28323320781627326,0.037999998639885096,0.037999998639885096,0.33306965194294896
400.0,90.0,35900.0,,14625.232421875,569.46337890625,196.43252563476562,4336.1669921875,82.9891357421875,6.657163619995117,1237.6728515625,0.12078459588266016,0.12078459588266016,0.2964853389749816,0.03447556689589137,0.03447556689589137,0.28543016304317226
400.0,100.0,35900.0,,14768.5703125,389.7391357421875,137.11148071289062,4707.9375,35.83784484863281,1.6262214183807373,1011.1373901367188,0.13114032033426185,0.13114032033426185,0.3187808569401765,0.028165386911886317,0.028165386911886317,0.21477290005160832
400.0,125.0,35900.0,,15217.494140625,330.460205078125,161.87245178222656,4807.07958984375,27.482654571533203,1.7474560737609863,830.0372924804688,0.13390193843575907,0.13390193843575907,0.3158916668816485,0.023120815946531162,0.023120815946531162,0.1726697627878153
400.0,150.0,35900.0,,15896.23828125,535.3714599609375,343.05572509765625,4576.81884765625,106.09420013427734,18.04347801208496,1132.6273193359375,0.12748799018541088,0.12748799018541088,0.2879183594683982,0.031549507502393805,0.031549507502393805,0.24747042804981156
400.0,200.0,35900.0,,16895.654296875,596.3251342773438,449.3311462402344,4547.818359375,127.09042358398438,31.257152557373047,1124.12744140625,0.1266801771413649,0.1266801771413649,0.2691708932643206,0.031312742100452644,0.031312742100452644,0.24717949411698517
400.0,250.0,35900.0,,16920.048828125,527.1590576171875,376.37603759765625,4442.6806640625,74.1744613647461,12.823091506958008,811.7957153320312,0.12375155053098885,0.12375155053098885,0.2625690214721926,0.02261269402039084,0.02261269402039084,0.18272655108857286
500.0,60.0,35900.0,,16482.109375,1004.5331420898438,731.9712524414062,5675.04296875,443.79730224609375,124.36930847167969,2707.958740234375,0.15807919133008355,0.15807919133008355,0.3443153324390556,0.07543060557755919,0.07543060557755919,0.47716973336517965
500.0,70.0,35900.0,,17143.03125,1128.69189453125,856.3702392578125,6104.91357421875,494.07672119140625,128.59446716308594,2990.925048828125,0.17005330290302925,0.17005330290302925,0.35611634168949846,0.08331267545482242,0.08331267545482242,0.4899209485059542
500.0,80.0,35900.0,,17336.173828125,1306.7271728515625,700.5214233398438,6427.90869140625,433.6421813964844,70.38082885742188,2930.79443359375,0.17905038137621868,0.17905038137621868,0.3707801245611681,0.08163772795525766,0.08163772795525766,0.4559483611694821
500.0,100.0,35900.0,,17548.341796875,785.0076904296875,246.38589477539062,7762.9033203125,120.7891616821289,6.843458652496338,2229.75390625,0.21623686129004177,0.21623686129004177,0.4423724708675844,0.0621101366643454,0.0621101366643454,0.2872319561697491
500.0,125.0,35900.0,,17919.521484375,594.3411865234375,241.8352508544922,8278.45703125,67.81392669677734,5.361296653747559,1840.7509765625,0.23059768889275767,0.23059768889275767,0.4619798044533965,0.051274400461350976,0.051274400461350976,0.22235435536041637
