m_X,m_Y,m_H,sigma
1000.0,80.0,127.28109955969795,13.06004885887355
1000.0,90.0,126.4149137564345,11.630566946176929
1000.0,100.0,124.96838847062124,10.595994587030514
1000.0,125.0,124.91067331278714,10.360854937301495
1000.0,150.0,128.13712803030245,13.085008933385309
1000.0,200.0,129.12547163179212,14.163142879878933
1000.0,250.0,128.89645176556772,14.200671514607127
1000.0,300.0,128.7401414049583,14.166096250608437
1000.0,400.0,128.14093502822067,14.237563589815906
1000.0,500.0,127.69636598557561,14.360025404038325
1000.0,600.0,127.2026311581603,14.461278789707142
1000.0,700.0,126.32045290799377,14.54741008211527
1000.0,800.0,126.47499035099756,14.475861650907705
1000.0,900.0,0.0,0.0
1000.0,1000.0,0.0,0.0
1000.0,1200.0,0.0,0.0
1000.0,1400.0,0.0,0.0
1100.0,60.0,0.0,0.0
1100.0,70.0,0.0,0.0
1100.0,80.0,0.0,0.0
1100.0,90.0,126.567637485196,11.711206804189672
1100.0,100.0,125.21811406902808,10.64506101007128
1100.0,125.0,125.24270278716865,10.410843529875622
1100.0,150.0,128.53131915923444,13.087816049169927
1100.0,200.0,129.67901484638574,13.993838291501131
1100.0,250.0,129.557302900747,14.128946022481665
1100.0,300.0,129.29648809817425,14.159753713138613
1100.0,400.0,128.84753088474235,14.078247891657092
1100.0,500.0,128.56038714330123,14.301967387096514
1100.0,600.0,127.97897950982949,14.278583131382033
1100.0,700.0,127.33428136323595,14.615366167895754
1100.0,800.0,126.80719523016786,14.734465412336574
1100.0,900.0,126.67115625737101,14.478469066310659
1100.0,1000.0,0.0,0.0
1100.0,1200.0,0.0,0.0
1100.0,1400.0,0.0,0.0
1400.0,60.0,0.0,0.0
1400.0,70.0,0.0,0.0
1400.0,80.0,0.0,0.0
1400.0,90.0,0.0,0.0
1400.0,100.0,125.32248632051201,10.999661039470423
1400.0,125.0,126.0232293777421,10.726638506929032
1400.0,150.0,129.88202967530705,13.44303691052154
1400.0,200.0,131.22790221524116,14.176677542879128
1400.0,250.0,131.04412444365232,14.481075874434353
1400.0,300.0,130.98345014961546,14.384570024866521
1400.0,400.0,130.65881254734305,14.378943451145194
1400.0,500.0,130.42993726591902,14.110299701033853
1400.0,600.0,130.28917082884206,14.119453643542526
1400.0,700.0,0.0,0.0
1400.0,800.0,128.8910837085713,14.435942768632552
1400.0,900.0,128.33169521138853,14.46532541146139
1400.0,1000.0,127.77879772740405,14.738975171154152
1400.0,1200.0,127.53232146684032,15.059730241652494
1400.0,1400.0,0.0,0.0
1600.0,60.0,0.0,0.0
1600.0,70.0,0.0,0.0
1600.0,80.0,0.0,0.0
1600.0,90.0,126.54988557548185,11.697133105095423
1600.0,100.0,125.51506934968556,10.814088179891229
1600.0,125.0,126.21567722403819,11.162479234253965
1600.0,150.0,130.44105263005588,13.803601086659606
1600.0,200.0,132.17324361174218,14.764387197662991
1600.0,250.0,132.24208338424066,14.956437567268278
1600.0,300.0,132.1994187199938,14.717285213305622
1600.0,400.0,131.8222861864438,14.844434508396043
1600.0,500.0,131.40225301419295,14.489888096776907
1600.0,600.0,131.02175214753174,14.50700403280167
1600.0,700.0,130.68413483559658,14.272893678323426
1600.0,800.0,130.38942587971857,14.181266785423997
1600.0,900.0,129.7323620168828,14.128969244712087
1600.0,1000.0,129.27647552969478,14.347049280350426
1600.0,1200.0,127.85951532892877,14.822521913363389
1600.0,1400.0,127.79580928699752,15.546072419124394
1800.0,60.0,0.0,0.0
1800.0,70.0,0.0,0.0
1800.0,80.0,0.0,0.0
1800.0,90.0,0.0,0.0
1800.0,100.0,125.18125042906316,10.998120860996064
1800.0,125.0,0.0,0.0
1800.0,150.0,0.0,0.0
1800.0,200.0,0.0,0.0
1800.0,250.0,133.16999302779132,15.42414110202685
1800.0,300.0,0.0,0.0
1800.0,400.0,132.77369108468423,15.34074712980399
1800.0,500.0,0.0,0.0
1800.0,600.0,0.0,0.0
1800.0,700.0,131.78053565814525,15.004888672476886
1800.0,800.0,131.38381891797513,14.523927985280872
1800.0,900.0,0.0,0.0
1800.0,1000.0,130.5700615552775,14.264197360727193
1800.0,1200.0,0.0,0.0
1800.0,1400.0,0.0,0.0
