m_X,m_Y,m_H,sigma
1100.0,1400.0,0.0,0.0
1400.0,60.0,0.0,0.0
1400.0,70.0,0.0,0.0
1400.0,80.0,0.0,0.0
1400.0,90.0,0.0,0.0
1400.0,100.0,122.1,16.1
1400.0,125.0,127.1,13.7
1400.0,150.0,133.8,19.6
1400.0,200.0,130.4,19.1
1400.0,250.0,129.5,18.4
1400.0,300.0,129.1,18.4
1400.0,400.0,128.9,18.2
1400.0,500.0,128.8,17.8
1400.0,600.0,128.5,17.6
1400.0,700.0,0.0,0.0
1400.0,800.0,127.3,18.3
1400.0,900.0,126.6,18.9
1400.0,1000.0,126.0,20.0
1400.0,1200.0,126.1,22.8
1400.0,1400.0,0.0,0.0
1600.0,60.0,0.0,0.0
1600.0,70.0,0.0,0.0
1600.0,80.0,0.0,0.0
1600.0,90.0,123.6,19.1
1600.0,100.0,122.9,16.9
1600.0,125.0,127.9,14.6
1600.0,150.0,135.6,20.8
1600.0,200.0,132.9,22.3
1600.0,250.0,130.8,20.5
1600.0,300.0,130.2,20.3
1600.0,400.0,129.9,20.2
1600.0,500.0,129.8,19.6
1600.0,600.0,129.5,19.3
1600.0,700.0,129.4,18.6
1600.0,800.0,129.0,18.0
1600.0,900.0,128.5,17.7
1600.0,1000.0,127.8,18.1
1600.0,1200.0,126.3,19.9
1600.0,1400.0,126.7,23.5
1800.0,60.0,0.0,0.0
1800.0,70.0,0.0,0.0
1800.0,80.0,0.0,0.0
1800.0,90.0,0.0,0.0
1800.0,100.0,123.6,17.7
1800.0,125.0,0.0,0.0
1800.0,150.0,0.0,0.0
1800.0,200.0,0.0,0.0
1800.0,250.0,132.4,22.6
1800.0,300.0,0.0,0.0
1800.0,400.0,131.2,22.7
1800.0,500.0,0.0,0.0
1800.0,600.0,0.0,0.0
1800.0,700.0,130.8,21.3
1800.0,800.0,130.2,20.1
1800.0,900.0,0.0,0.0
1800.0,1000.0,129.5,18.2
1800.0,1200.0,0.0,0.0
1800.0,1400.0,0.0,0.0
